t,home,away,score,odds_home,odds_draw,odds_away,note
2026-06-11T20:00,MEX,RSA,2-0,,,,
2026-06-12T00:00,KOR,CZE,2-1,,,,
2026-06-12T20:00,CAN,BIH,1-1,,,,
2026-06-13T04:00,USA,PAR,4-1,,,,
2026-06-13T08:00,QAT,SUI,1-1,,,,
2026-06-13T12:00,BRA,MAR,1-1,,,,
2026-06-14T03:00,HTI,SCO,0-1,,,,
2026-06-14T04:00,AUS,TUR,2-1,,,,
2026-06-14T23:00,NED,JPN,2-2,,,,
2026-06-15T03:00,SWE,TUN,5-1,,,,
2026-06-15T04:00,GER,ECU,4-0,,,,
2026-06-15T07:00,CUW,CIV,0-3,,,,
2026-06-15T23:00,BEL,EGY,1-1,,,,
2026-06-16T03:00,IRN,NZL,2-2,,,,
2026-06-16T03:00,ESP,CPV,0-0,,,,已有估計先驗88/8/4
2026-06-16T07:00,KSA,URU,1-1,,,,
2026-06-16T23:00,FRA,SEN,3-1,,,,
2026-06-17T03:00,NOR,IRQ,4-1,,,,
2026-06-17T04:00,ARG,DZA,3-0,,,,
2026-06-17T08:00,AUT,JOR,3-1,,,,
2026-06-17T23:00,POR,COD,1-1,,,,
2026-06-18T03:00,UZB,COL,1-3,,,,
2026-06-18T04:00,ENG,CRO,4-2,,,,
2026-06-18T08:00,GHA,PAN,1-0,,,,
2026-06-18T20:00,CZE,RSA,1-1,,,,
2026-06-19T00:00,MEX,KOR,1-0,,,,
2026-06-19T20:00,SUI,BIH,4-1,,,,
2026-06-19T20:00,CAN,QAT,6-0,,,,
2026-06-20T03:00,USA,TUR,2-1,,,,已有估計先驗62/20/18
2026-06-20T07:00,AUS,PAR,1-2,,,,已有估計先驗40/28/32
2026-06-20T23:00,NED,SWE,5-1,,,,
2026-06-21T03:00,TUN,JPN,0-4,,,,
2026-06-21T04:00,GER,CIV,4-1,,,,已有估計先驗72/16/12
2026-06-21T08:00,ECU,CUW,0-0,,,,已有估計先驗74/17/9
2026-06-22T00:00,ESP,KSA,4-0,,,,
2026-06-22T03:00,BEL,IRN,0-0,,,,已有估計先驗71/18/11
2026-06-22T06:00,URU,CPV,2-2,,,,已有估計先驗78/14/8
2026-06-22T09:00,NZL,EGY,1-3,,,,已有估計先驗38/28/34
2026-06-23T01:00,ARG,AUT,2-0,,,,
2026-06-23T05:00,FRA,IRQ,3-0,,,,
2026-06-23T08:00,NOR,SEN,3-2,,,,
2026-06-23T11:00,JOR,DZA,1-2,,,,
